"","group","n","Mean","Conf.level","Trad.lower","Trad.upper"
"dendriteLength.1","oil_igf",20,4437,0.95,3769,5105
"dendriteLength.2","oil_saline",12,4594,0.95,3974,5214
"dendriteSurfaceArea.1","oil_igf",20,12530,0.95,10180,14870
"dendriteSurfaceArea.2","oil_saline",12,12220,0.95,10280,14160
"dendriteVolume.1","oil_igf",20,3306,0.95,2476,4136
"dendriteVolume.2","oil_saline",12,3094,0.95,2329,3859
"dendriteBranches.1","oil_igf",20,83.95,0.95,70.52,97.38
"dendriteBranches.2","oil_saline",12,83.75,0.95,71.11,96.39
"dendriteOrders.1","oil_igf",20,22.9,0.95,19.72,26.08
"dendriteOrders.2","oil_saline",12,24.5,0.95,21.23,27.77
"spineArea.1","oil_igf",20,2.5,0.95,2.311,2.69
"spineArea.2","oil_saline",12,2.35,0.95,2.015,2.685
"spineVolume.1","oil_igf",20,0.5243,0.95,0.4638,0.5848
"spineVolume.2","oil_saline",12,0.4458,0.95,0.3428,0.5487
"totalSpines.1","oil_igf",20,7.544,0.95,6.611,8.478
"totalSpines.2","oil_saline",12,12.45,0.95,10.61,14.3
"thinSpines.1","oil_igf",20,2.228,0.95,1.745,2.711
"thinSpines.2","oil_saline",12,4.949,0.95,3.051,6.846
"stubbySpines.1","oil_igf",20,3.867,0.95,3.338,4.396
"stubbySpines.2","oil_saline",12,5.522,0.95,4.602,6.441
"mushroomSpines.1","oil_igf",20,1.404,0.95,1.192,1.615
"mushroomSpines.2","oil_saline",12,1.905,0.95,1.565,2.245
"filopodia.1","oil_igf",20,0.04584,0.95,0.02913,0.06255
"filopodia.2","oil_saline",12,0.07957,0.95,0.04245,0.1167
