"parameter","mean","stdDev","stdErr","data.n"
"dendriteLength","4017.34210526316","1645.5334671352","377.511267971392","19"
"dendriteSurfaceArea","11197.1957894737","4940.36406671762","1133.39724795377","19"
"dendriteVolume","2971.43273684211","1596.34113354174","366.225772659242","19"
"dendriteBranches","70.0526315789474","26.483692433501","6.07577573523389","19"
"dendriteOrders","18.4210526315789","5.88138106866523","1.34928135404026","19"
"spineArea","2.31021893164265","0.458559649729437","0.105200798566107","19"
"spineVolume","0.459016490411962","0.136482318104333","0.031311191168261","19"
"totalSpines","8.8693940010022","2.4934235611339","0.572030596127683","19"
"thinSpines","2.70980777574029","1.50812872353902","0.345988457881977","19"
"stubbySpines","4.64920919101445","1.3546464221124","0.310777203064048","19"
"mushroomSpines","1.45751384740264","0.582656423350058","0.13367055095725","19"
"filopodia","4017.34210526316","1645.5334671352","377.511267971392","19"
